"date","reception_stock","source"
"2020-12-26",26000,"Ministère de la Santé"
"2020-12-29",500000,"Ministère de la Santé"
"2021-01-06",520000,"Ministère de la Santé"
"2021-01-12",51000,"Ministère de la Santé"
"2021-01-14",554000,"Ministère de la Santé"
"2021-01-20",384000,"Ministère de la Santé"
