"titre","contenu","type"
"07 janvier à 18h30","🔴 Le Ministère de la Santé annonce qu'au moins 25 000 personnes ont été vaccinées aujourd'hui.","info"
"06 janvier à 13h30","L'Union Européenne autorise la vaccin Moderna. <a href='#autorisation-des-vaccins'>Plus...</a>","info"
