"date_fin_semaine","nb_ucd","nb_doses"
2020-12-29,0,0
2021-01-03,0,0
2021-01-10,1158,5790
2021-01-17,6948,34740
2021-01-24,27960,139800
2021-01-31,23409,117045
2021-02-07,18414,92070
2021-02-14,36227,181135
2021-02-21,27865,139325
2021-02-28,14986,74930
2021-03-07,11868,59340
2021-03-14,8097,40485
2021-03-21,4615,23075
2021-03-28,1950,11700
2021-04-04,12343,61715
2021-04-11,11070,55350
2021-04-18,7310,36550
2021-04-25,1950,11700
