reg;population
1;376900
2;358700
3;290700
4;860000
6;279500
11;12278200
24;2559100
27;2783000
28;3303500
32;5962700
44;5511700
52;3801800
53;3340400
75;6000000
76;5924900
84;8032400
93;5055700
94;344700
